war_id,attack_id,war_att_no,clan_att,attacker,defender,damage,stars,base_attack_no,bkequip1,bkequip1_lvl,bkequip2,bkequip2_lvl,bkpet,bkpet_lvl,aqequip1,aqequip1_lvl,aqequip2,aqequip2_lvl,aqpet,aqpet_lvl,gwequip1,gwequip1_lvl,gwequip2,gwequip2_lvl,gwpet,gwpet_lvl,rcequip1,rcequip1_lvl,rcequip2,rcequip2_lvl,rcpet,rcpet_lvl,bk_lvl,aq_lvl,gw_lvl,rc_lvl,troops,spells,sm,cc_troops,cc_spells,cc_troops_actual,cc_spells_actual
1,1,1,opponent,4,4,100,3,1,barbpup,15,rvial,15,myak,15,archpup,15,ivial,15,unicorn,10,etome,15,lgem,15,eowl,10,sshield,15,roygem,15,phoenix,10,95,95,70,45,"healer-5-9,wb-4-12,witch-8-7,cookie-13-11,valk-2-11","eq-1-5,rage-3-6,freeze-4-7",bd-4,"arch-2-12,bowl-2-7,yeti-2-5",eq-3-5,"arch-2-12,bowl-2-7,yeti-2-5",eq-3-5
1,2,2,home,5,5,100,3,1,barbpup,7,eqboots,4,0,0,archpup,7,ivial,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,0,0,"golem-2-5,drag-2-5,valk-13-5,wiz-5-7","jump-1-3,heal-1-7",0,0,0,0,0
1,3,3,home,5,2,22,1,1,barbpup,7,eqboots,4,0,0,archpup,7,ivial,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,0,0,"golem-2-5,wiz-6-7,valk-12-5,ram-5-5","heal-2-7,rage-2-5,freeze-2-5",0,"wb-1-8,wiz-2-9,pekka-1-8",freeze-1-7,"wb-1-8,wiz-2-9,pekka-1-8",freeze-1-7
1,4,4,opponent,2,2,79,2,1,gg,12,rvial,15,myak,15,archpup,15,ivial,15,unicorn,10,etome,15,lgem,15,phoenix,10,sshield,15,roygem,15,pliz,10,91,92,65,40,"ram-17-11,cookie-11-11,hh-1-3",bof-11-11,sb-4,"arch-2-12,bowl-2-7,yeti-2-5",freeze-3-7,"arch-2-12,bowl-2-7,yeti-2-5",freeze-3-7
1,5,5,home,4,4,67,2,1,barbpup,15,rvial,15,frosty,10,archpup,15,ivial,15,unicorn,10,0,0,0,0,0,0,sshield,15,roygem,15,diggy,10,95,95,0,45,"yeti-6-5,wiz-9-12,witch-3-7,hh-3-3,golem-2-13,bowl-6-7,ig-1-7,arch-1-12,minion-2-11,wb-3-12","poison-1-10,freeze-8-7,rage-1-6",ll-4,"wiz-1-12,supwiz-1-12,yeti-2-5","freeze-1-7,rage-1-6","wiz-1-12,supwiz-1-12,yeti-2-5","freeze-1-7,rage-1-6"
1,6,6,home,1,2,84,2,2,eqboots,4,gg,12,phoenix,10,archpup,15,ivial,15,unicorn,10,etome,15,lgem,15,sfox,3,sshield,15,roygem,15,diggy,10,90,94,65,40,"ram-10-11,cookie-14-11,arch-4-11",bof-11-11,bd-4,suparch-4-12,"poison-1-10,rage-1-6",suparch-4-12,"poison-1-10,rage-1-6"
1,7,7,home,1,1,95,2,1,eqboots,4,gg,12,phoenix,10,archpup,15,ivial,15,unicorn,10,etome,15,lgem,15,sfox,3,sshield,15,roygem,15,diggy,10,90,94,65,40,"ram-10-11,cookie-14-11,healer-4-9,arch-4-11",bof-11-11,bd-4,suparch-4-12,"poison-1-10,rage-1-6",suparch-4-12,"poison-1-10,rage-1-6"
1,8,8,home,4,3,70,2,1,barbpup,15,rvial,15,frosty,10,archpup,15,ivial,15,unicorn,10,0,0,0,0,0,0,sshield,15,roygem,15,diggy,10,90,95,0,41,"ram-18-11,cookie-10-11,minion-2-11","bof-9-11,rage-1-6",ll-4,"wiz-1-12,supwiz-1-12,yeti-2-5","freeze-1-7,rage-1-6","wiz-1-12,supwiz-1-12,yeti-2-5","freeze-1-7,rage-1-6"
1,9,9,opponent,2,3,82,2,1,gg,12,rvial,15,myak,15,archpup,15,ivial,15,unicorn,10,etome,15,lgem,15,phoenix,10,sshield,15,roygem,15,pliz,10,95,95,70,45,"ram-17-11,hh-1-3,cookie-11-11",bof-11-11,sb-4,pekka-2-11,"freeze-1-7,rage-1-6",pekka-2-11,"freeze-1-7,rage-1-6"
1,10,10,opponent,1,5,100,3,1,barbpup,15,eqboots,1,phoenix,10,archpup,15,ga,1,unicorn,10,etome,15,lgem,15,eowl,10,sshield,15,roygem,15,diggy,10,90,91,66,40,"healer-5-8,wb-1-11,minion-1-10","poison-1-9,rage-1-6",0,0,0,0,0
1,11,11,opponent,4,2,83,1,2,barbpup,15,rvial,15,myak,15,archpup,15,ivial,15,unicorn,10,etome,15,lgem,15,eowl,10,sshield,15,roygem,15,phoenix,10,95,95,70,45,"healer-5-9,witch-8-7,valk-2-11,wb-4-12,cookie-13-11","rage-3-6,jump-1-5,freeze-3-7",ll-4,"arch-2-12,bowl-2-7,yeti-2-5",freeze-3-7,"arch-2-12,bowl-2-7,yeti-2-5",freeze-3-7
1,12,12,opponent,3,1,59,2,1,eqboots,10,rvial,15,lassi,15,archpup,15,ivial,15,unicorn,10,0,0,0,0,0,0,sshield,15,roygem,15,eowl,10,90,91,0,41,"yeti-13-5,bowl-13-7,arch-4-11,wiz-1-11","eq-4-5,freeze-7-7",ll-4,pekka-2-11,"freeze-1-7,rage-1-6",pekka-2-11,"freeze-1-7,rage-1-6"
1,13,13,home,2,4,100,3,2,barbpup,15,rvial,15,myak,15,archpup,15,ivial,15,unicorn,10,etome,15,lgem,15,pliz,10,sshield,15,roygem,15,diggy,10,90,93,66,40,"ig-2-7,supwiz-8-11,yeti-4-5,ram-10-11,hh-2-3,wiz-1-11,minion-1-11","bof-9-11,heal-1-9",ll-4,"barb-1-12,balloon-1-11,rockloon-1-11,yeti-2-5","poison-1-10,rage-1-6","barb-1-12,balloon-1-11,rockloon-1-11,yeti-2-5","poison-1-10,rage-1-6"
1,14,14,home,3,3,76,2,2,barbpup,15,rvial,15,myak,15,archpup,15,ivial,15,unicorn,10,etome,15,lgem,15,pliz,10,sshield,15,roygem,15,diggy,10,90,90,66,42,"yeti-5-5,supwiz-8-11,balloon-3-10,healer-5-8,hh-1-3,wiz-2-11,ig-1-7,ram-3-11","rage-2-6,bof-5-11,jump-1-5",bd-4,"barb-1-12,balloon-1-11,rockloon-1-11,yeti-2-5","poison-1-10,rage-1-6","barb-1-12,balloon-1-11,rockloon-1-11,yeti-2-5","poison-1-10,rage-1-6"
1,15,15,home,2,3,100,3,3,barbpup,15,rvial,15,myak,15,archpup,15,ivial,15,unicorn,10,etome,15,lgem,15,pliz,10,sshield,15,roygem,15,diggy,10,90,93,66,40,"ig-2-7,yeti-4-5,supwiz-9-11,ram-10-11,minion-1-11,hh-1-3","bof-9-11,heal-1-9",ll-4,"barb-1-12,balloon-1-11,rockloon-1-11,yeti-2-5","poison-1-10,rage-1-6","barb-1-12,balloon-1-11,rockloon-1-11,yeti-2-5","poison-1-10,rage-1-6"
1,16,16,home,3,2,72,2,3,barbpup,15,rvial,15,myak,15,archpup,15,ivial,15,unicorn,10,etome,15,lgem,15,pliz,10,sshield,15,roygem,15,diggy,10,90,90,66,42,"ram-3-11,balloon-3-10,wiz-2-11,healer-5-8,yeti-4-5,ig-1-7,babydrag-1-9,supwiz-8-11,hh-1-3,wb-4-11","rage-2-6,bof-5-11,jump-1-5",bd-4,"barb-1-12,balloon-1-11,rockloon-1-11,yeti-2-5","poison-1-10,rage-1-6","barb-1-12,balloon-1-11,rockloon-1-11,yeti-2-5","poison-1-10,rage-1-6"
1,17,17,opponent,3,1,61,2,2,eqboots,10,rvial,15,lassi,15,archpup,15,ivial,15,unicorn,10,0,0,0,0,0,0,sshield,15,roygem,15,eowl,10,90,91,0,41,"yeti-13-5,bowl-13-7,arch-4-11,wiz-1-11","eq-4-5,freeze-7-7",ll-4,pekka-2-11,"freeze-1-7,rage-1-6",pekka-2-11,"freeze-1-7,rage-1-6"
1,18,18,opponent,1,3,68,2,2,barbpup,15,eqboots,1,phoenix,10,archpup,15,ga,1,unicorn,10,etome,15,lgem,15,eowl,10,sshield,15,roygem,15,diggy,10,90,91,66,40,"wb-3-11,balloon-3-10,wiz-1-11,healer-5-8,pekka-3-10,etitan-1-3,minion-3-10,witch-2-6,bowl-7-7,ig-1-7,hh-2-3","rage-3-6,freeze-1-7,poison-1-9,jump-1-5,invis-1-4",ff-4,"arch-2-12,bowl-2-7,yeti-2-5","freeze-1-7,rage-1-6","arch-2-12,bowl-2-7,yeti-2-5","freeze-1-7,rage-1-6"
2,19,1,home,10,7,13,1,1,barbpup,7,eqboots,4,0,0,archpup,7,ivial,7,0,0,etome,6,lgem,1,0,0,0,0,0,0,0,0,50,50,20,0,"golem-2-7,wb-4-7,wiz-6-8,valk-1-6,cookie-14-6","poison-1-5,rage-2-5,heal-1-7,freeze-2-6,jump-1-3",bb-3,"balloon-1-8,supwiz-3-9",0,"balloon-1-8,supwiz-3-9",0
2,20,2,home,5,6,52,2,1,barbpup,15,rvial,15,frosty,10,archpup,15,ivial,15,unicorn,10,0,0,0,0,0,0,sshield,15,roygem,15,diggy,10,90,95,0,41,"yeti-6-5,wiz-9-12,witch-3-6,golem-2-13,bowl-6-7,ig-1-7,wb-3-11,hh-3-3,minion-2-11,arch-1-11","freeze-7-7,poison-1-9,rage-1-6",ll-4,"wiz-1-12,supwiz-1-12,yeti-2-5","freeze-1-7,rage-1-6","wiz-1-12,supwiz-1-12,yeti-2-5","freeze-1-7,rage-1-6"
2,21,3,home,10,10,64,2,1,barbpup,7,eqboots,4,0,0,archpup,7,ivial,7,0,0,etome,6,lgem,1,0,0,0,0,0,0,0,0,50,50,20,0,"golem-2-7,wiz-6-8,wb-4-7,cookie-14-6,valk-1-6","jump-1-3,rage-2-5,freeze-3-6,heal-1-7",ll-3,"giant-1-9,bowl-5-4",0,"giant-1-9,bowl-5-4",0
2,22,4,opponent,8,8,62,2,1,eqboots,1,rvial,8,unicorn,5,archpup,8,ivial,8,myak,5,etome,8,lgem,8,eowl,5,sshield,8,roygem,8,0,0,49,49,17,14,edrag-9-5,"rage-5-6,bat-1-5",ff-3,0,0,0,0
2,23,5,home,2,1,100,3,1,eqboots,4,gg,13,phoenix,10,archpup,15,ivial,15,unicorn,10,etome,15,lgem,15,sfox,3,sshield,15,roygem,15,diggy,10,90,94,65,40,"root-6-1,cookie-14-11,healer-4-9,arch-4-11",bof-11-11,bd-4,suparch-4-12,"rage-1-6,poison-1-10",suparch-4-12,"rage-1-6,poison-1-10"
2,24,6,home,2,2,71,2,1,eqboots,4,gg,13,phoenix,10,archpup,15,ivial,15,unicorn,10,etome,15,lgem,15,sfox,3,sshield,15,roygem,15,diggy,10,90,94,65,40,"root-6-1,cookie-14-11,healer-4-9,arch-4-11",bof-11-11,bd-4,suparch-4-12,"rage-1-6,poison-1-10",suparch-4-12,"rage-1-6,poison-1-10"
2,25,7,opponent,8,9,84,2,1,eqboots,1,rvial,8,unicorn,5,archpup,8,ivial,8,myak,5,etome,8,lgem,8,eowl,5,sshield,8,roygem,8,0,0,49,49,17,14,"edrag-8-5,pekka-1-6,babydrag-1-6","rage-5-6,freeze-1-3",ff-3,0,0,0,0
2,26,8,home,5,5,68,2,1,barbpup,15,rvial,15,frosty,10,archpup,15,ivial,15,unicorn,10,0,0,0,0,0,0,sshield,15,roygem,15,diggy,10,90,95,0,41,"yeti-6-5,wiz-9-12,witch-3-6,golem-2-13,ig-1-7,bowl-6-7,hh-3-3,arch-1-11,minion-2-11,wb-3-11","freeze-7-7,poison-2-9,rage-1-6",ll-4,"wiz-1-12,supwiz-1-12,yeti-2-5","freeze-1-7,rage-1-6","wiz-1-12,supwiz-1-12,yeti-2-5","freeze-1-7,rage-1-6"
2,27,9,opponent,10,10,100,3,1,barbpup,7,rvial,7,0,0,archpup,7,ivial,7,0,0,etome,9,lgem,9,0,0,0,0,0,0,0,0,42,44,22,0,"babydrag-2-5,drag-10-7,balloon-12-8","rage-2-6,clone-2-5,freeze-1-7",bb-1,balloon-8-10,freeze-2-7,balloon-8-10,freeze-2-7
2,28,10,opponent,10,9,80,2,2,barbpup,7,rvial,7,0,0,archpup,7,ivial,7,0,0,etome,9,lgem,9,0,0,0,0,0,0,0,0,42,45,22,0,"babydrag-2-5,drag-10-7,balloon-12-8","rage-2-6,clone-2-5,freeze-1-7",bb-1,balloon-8-10,freeze-2-7,balloon-8-10,freeze-2-7
2,29,11,opponent,3,2,66,1,1,barbpup,15,eqboots,8,frosty,10,archpup,15,ivial,15,unicorn,10,etome,15,lgem,15,eowl,10,sshield,15,roygem,15,phoenix,10,92,95,67,40,"root-10-3,cookie-10-11,hh-2-3,wiz-2-11","eq-1-5,bof-10-11",ll-4,"arch-1-12,sneakgob-3-9,root-2-3","poison-1-10,rage-1-6","arch-1-12,sneakgob-3-9,root-2-3","poison-1-10,rage-1-6"
2,30,12,opponent,3,3,67,2,1,barbpup,15,eqboots,8,frosty,10,archpup,15,ivial,15,unicorn,10,etome,15,lgem,15,eowl,10,sshield,15,roygem,15,phoenix,10,92,95,67,40,"infdrag-1-9,drag-11-11,drider-2-3,balloon-7-10","rage-3-6,clone-1-8,freeze-2-7",bb-4,balloon-10-11,"freeze-1-7,rage-1-6",balloon-10-11,"freeze-1-7,rage-1-6"
2,31,13,opponent,2,4,100,3,1,barbpup,15,rvial,15,myak,15,ga,12,ivial,15,phoenix,10,etome,15,lgem,15,frosty,10,sshield,15,roygem,15,diggy,10,90,92,65,40,"balloon-2-10,healer-5-8,babydrag-2-9,hh-1-3,arch-2-11,wb-8-11,minion-2-11,suphog-16-12","rage-2-6,bof-3-11,heal-2-9",sb-4,"wb-1-12,suphog-4-12","rage-1-6,poison-1-10","wb-1-12,suphog-4-12","rage-1-6,poison-1-10"
2,32,14,opponent,9,8,100,3,2,rvial,11,vstache,8,0,0,archpup,11,ivial,11,0,0,etome,13,lgem,13,0,0,sshield,8,roygem,8,0,0,65,65,50,16,"balloon-3-9,healer-5-6,supwb-3-9,hog-18-10,hh-1-3,miner-13-7,wiz-1-10,babydrag-1-7,minion-1-8","poison-1-6,rage-2-6,freeze-2-7,heal-2-8",sb-4,"hog-1-12,root-2-2",rage-1-6,"hog-1-12,root-2-2",rage-1-6
2,33,15,opponent,7,7,100,3,1,vstache,6,gg,10,myak,10,healpup,3,ivial,15,unicorn,10,etome,15,rgem,2,frosty,1,sshield,15,roygem,15,diggy,3,80,85,62,32,"balloon-2-10,healer-5-8,babydrag-1-8,edrag-1-5,root-7-2,aw-1-3,wiz-3-10,minion-8-10,hh-2-3","rage-2-6,heal-1-8,bof-4-10,invis-1-4",ff-4,"supbarb-2-12,root-2-3","rage-1-6,poison-1-10","supbarb-2-12,root-2-3","rage-1-6,poison-1-10"
2,34,16,opponent,9,9,100,3,3,rvial,11,vstache,8,0,0,archpup,11,ivial,11,0,0,etome,13,rgem,5,0,0,sshield,8,roygem,8,0,0,65,65,50,16,"ig-4-5,witch-6-5,bowl-14-5,aw-1-2,yeti-3-3,minion-1-8","rage-1-6,bat-6-5,freeze-2-7",ww-5,"arch-1-11,bowl-2-7,etitan-1-3",rage-1-6,"arch-1-11,bowl-2-7,etitan-1-3",rage-1-6
2,35,17,opponent,7,6,99,2,1,vstache,6,gg,10,myak,10,healpup,3,ivial,15,unicorn,10,etome,15,rgem,2,frosty,1,sshield,15,roygem,15,diggy,3,80,85,62,32,"balloon-2-10,healer-5-8,supwb-3-11,babydrag-1-8,edrag-1-5,wiz-2-10,root-6-2,aw-1-3,minion-8-10,hh-2-3","bof-4-10,invis-1-4,rage-2-6,heal-1-8",ff-4,"supbarb-2-12,root-2-3","rage-1-6,poison-1-10","supbarb-2-12,root-2-3","rage-1-6,poison-1-10"
2,36,18,opponent,2,5,100,3,1,gg,11,rvial,15,myak,15,ga,12,ivial,15,phoenix,10,etome,15,lgem,15,frosty,10,sshield,15,roygem,15,diggy,10,90,92,65,40,"balloon-2-10,babydrag-2-9,healer-5-8,wb-8-11,suphog-16-12,hh-1-3,arch-2-11,minion-2-11","rage-2-6,bof-3-11,heal-2-9",sb-4,"wb-1-12,suphog-4-12","rage-1-6,poison-1-10","wb-1-12,suphog-4-12","rage-1-6,poison-1-10"
2,37,19,home,8,10,69,1,2,barbpup,11,rvial,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,"arch-4-9,ram-10-7,wiz-4-9,ig-2-5,cookie-10-7,hh-1-2,wb-2-8","heal-2-7,freeze-1-7,rage-3-6",ll-4,"wb-1-10,hh-1-3,etitan-1-2",freeze-2-7,"wb-1-10,hh-1-3,etitan-1-2",freeze-2-7
2,38,20,opponent,6,6,88,2,2,barbpup,15,vstache,10,phoenix,10,archpup,15,ivial,15,unicorn,10,etome,15,rgem,14,eowl,10,sshield,15,roygem,15,diggy,10,90,93,69,40,"healer-5-9,etitan-5-3,supwb-2-11,suparch-3-12,witch-2-6,wiz-1-11,arch-2-12,minion-1-11,hh-1-3","invis-5-4,clone-2-8",bb-4,"wb-1-12,suparch-4-12","freeze-1-7,rage-1-6","wb-1-12,suparch-4-12","freeze-1-7,rage-1-6"
2,39,21,opponent,4,6,74,1,3,barbpup,15,vstache,10,phoenix,10,archpup,15,ivial,15,unicorn,10,etome,15,rgem,14,eowl,10,sshield,15,roygem,15,diggy,10,90,95,66,40,"healer-5-9,supwb-2-11,etitan-4-3,suparch-3-12,witch-3-7,aw-1-3,wiz-1-11,arch-1-12,minion-1-11,hh-1-3","invis-5-4,clone-2-8",bb-4,"wb-1-12,suparch-4-12","freeze-1-7,rage-1-6","wb-1-12,suparch-4-12","freeze-1-7,rage-1-6"
2,40,22,opponent,5,6,100,3,4,barbpup,15,vstache,9,phoenix,10,archpup,15,ivial,15,unicorn,10,etome,15,rgem,14,eowl,10,sshield,15,roygem,15,diggy,10,90,95,67,40,"healer-5-9,supwb-2-11,etitan-4-3,suparch-3-12,witch-3-6,aw-1-3,minion-1-11,wiz-1-11,hh-1-3,arch-2-12","invis-5-4,clone-2-8",bb-4,"wb-1-12,suparch-4-12","freeze-1-7,rage-1-6","wb-1-12,suparch-4-12","freeze-1-7,rage-1-6"
2,41,23,opponent,6,1,100,3,1,barbpup,15,vstache,10,phoenix,10,archpup,15,ivial,15,unicorn,10,etome,15,rgem,14,eowl,10,sshield,15,roygem,15,diggy,10,90,93,69,40,"healer-5-9,suparch-3-12,etitan-4-3,witch-3-6,aw-1-2,minion-1-11,arch-2-12,hh-1-3,wiz-1-11,supwb-2-11","invis-5-4,clone-2-8",bb-4,"wb-1-12,suparch-4-12","freeze-1-7,rage-1-6","wb-1-12,suparch-4-12","freeze-1-7,rage-1-6"
2,42,24,opponent,5,2,64,2,2,barbpup,15,vstache,9,phoenix,10,archpup,15,ivial,15,unicorn,10,etome,15,rgem,14,eowl,10,sshield,15,roygem,15,diggy,10,90,95,67,40,"healer-5-9,etitan-4-3,balloon-2-10,witch-2-6,suparch-3-12,aw-1-3,supwb-2-11,arch-4-12,hh-1-3,minion-1-11,wiz-1-11","invis-5-4,clone-2-8",bb-4,"wb-1-12,suparch-4-12","freeze-1-7,rage-1-6","wb-1-12,suparch-4-12","freeze-1-7,rage-1-6"
2,43,25,opponent,1,2,82,2,3,vstache,6,gg,14,phoenix,10,healpup,6,ivial,15,unicorn,10,etome,15,rgem,6,frosty,10,sshield,15,roygem,15,diggy,10,90,93,65,40,"balloon-2-10,edrag-1-6,wiz-2-11,babydrag-1-9,supwb-3-11,root-6-3,aw-1-3,hh-2-3,minion-8-11","rage-2-6,heal-1-9,bof-4-11,invis-1-4",ff-4,"supbarb-2-12,root-2-3","rage-1-6,poison-1-10","supbarb-2-12,root-2-3","rage-1-6,poison-1-10"
2,44,26,opponent,1,3,100,3,2,vstache,6,gg,14,phoenix,10,healpup,6,ivial,15,unicorn,10,etome,15,rgem,6,frosty,10,sshield,15,roygem,15,diggy,10,90,93,65,40,"balloon-2-10,healer-5-9,babydrag-1-9,hh-2-3,edrag-1-6,supwb-3-11,root-6-3,aw-1-3,wiz-2-11,minion-8-11","rage-2-6,heal-1-9,bof-4-11,invis-1-4",ll-4,"supbarb-2-12,root-2-3","rage-1-6,poison-1-10","supbarb-2-12,root-2-3","rage-1-6,poison-1-10"
2,45,27,home,1,8,100,3,1,gg,12,rvial,15,phoenix,10,archpup,15,ivial,15,unicorn,10,0,0,0,0,0,0,sshield,15,roygem,15,diggy,10,90,92,0,43,"ig-2-7,root-8-3,cookie-11-11,aw-1-4","bof-9-11,heal-1-9",ll-4,"yeti-1-5,etitan-1-3","rage-1-6,poison-1-10","yeti-1-5,etitan-1-3","rage-1-6,poison-1-10"
2,46,28,home,3,3,100,3,1,gg,11,rvial,15,myak,15,archpup,15,ivial,15,unicorn,10,etome,15,lgem,15,pliz,10,sshield,15,roygem,15,diggy,10,90,93,66,40,"ig-2-7,yeti-2-5,cookie-3-11,supwiz-7-11,ram-12-11,hh-1-3,wiz-1-11","bof-9-11,heal-1-9",ll-4,"wiz-1-12,supwiz-1-12,yeti-2-5","rage-1-6,poison-1-10","wiz-1-12,supwiz-1-12,yeti-2-5","rage-1-6,poison-1-10"
2,47,29,home,7,9,100,3,1,barbpup,14,rvial,14,myak,15,archpup,15,ivial,15,unicorn,10,etome,15,lgem,15,eowl,10,sshield,15,roygem,15,lassi,15,90,90,65,40,"edrag-5-6,drag-2-10,yeti-2-4,balloon-15-10,hh-2-3,arch-2-10","rage-4-6,freeze-3-7",ll-4,"minion-1-11,sneakgob-4-9,hh-1-3,ig-2-5","freeze-1-7,rage-1-6","minion-1-11,sneakgob-4-9,hh-1-3,ig-2-5","freeze-1-7,rage-1-6"
2,48,30,home,4,4,92,2,1,gg,11,rvial,15,myak,15,archpup,15,ivial,15,unicorn,10,etome,15,lgem,15,pliz,10,sshield,15,roygem,15,diggy,10,90,90,66,42,"ig-2-7,yeti-3-5,supwiz-7-11,ram-13-11,wiz-1-11,hh-1-3","bof-9-11,heal-1-9",ll-4,"wiz-1-12,supwiz-1-12,yeti-2-5","rage-1-6,poison-1-10","wiz-1-12,supwiz-1-12,yeti-2-5","rage-1-6,poison-1-10"
2,49,31,home,3,2,89,2,2,gg,11,rvial,15,myak,15,archpup,15,ivial,15,unicorn,10,etome,15,lgem,15,pliz,10,sshield,15,roygem,15,diggy,10,90,93,66,40,"ig-2-7,yeti-3-5,hh-1-3,supwiz-7-11,ram-13-11,wiz-1-11","bof-9-11,heal-1-9",ll-4,"wiz-1-12,supwiz-1-12,yeti-2-5","rage-1-6,poison-1-10","wiz-1-12,supwiz-1-12,yeti-2-5","rage-1-6,poison-1-10"
2,50,32,home,4,5,100,3,2,gg,11,rvial,15,myak,15,archpup,15,ivial,15,unicorn,10,etome,15,lgem,15,pliz,10,sshield,15,roygem,15,diggy,10,90,90,66,42,"ig-2-7,yeti-3-5,supwiz-7-11,ram-13-11,hh-1-3,wiz-1-11","bof-9-11,heal-1-9",ll-4,"wiz-1-12,supwiz-1-12,yeti-2-5","rage-1-6,poison-1-10","wiz-1-12,supwiz-1-12,yeti-2-5","rage-1-6,poison-1-10"
2,51,33,home,7,10,100,3,3,barbpup,14,rvial,14,myak,15,archpup,15,ivial,15,unicorn,10,etome,15,lgem,15,eowl,10,sshield,15,roygem,15,lassi,15,90,90,65,40,"edrag-5-6,drag-2-10,balloon-15-10,yeti-2-4,hh-2-3,arch-2-10","rage-4-6,freeze-3-7",ll-4,"balloon-2-11,supdrag-1-11","freeze-1-7,rage-1-6","balloon-2-11,supdrag-1-11","freeze-1-7,rage-1-6"
2,52,34,home,1,7,100,3,2,gg,12,rvial,15,phoenix,10,archpup,15,ivial,15,unicorn,10,0,0,0,0,0,0,sshield,15,roygem,15,diggy,10,90,92,0,43,"ig-2-7,root-8-3,cookie-11-11,aw-1-4","bof-9-11,heal-1-9",ll-4,"yeti-1-5,etitan-1-3","rage-1-6,poison-1-10","yeti-1-5,etitan-1-3","rage-1-6,poison-1-10"
2,53,35,home,9,6,30,1,2,gg,8,rvial,10,0,0,0,0,0,0,0,0,etome,9,lgem,9,0,0,0,0,0,0,0,0,62,0,32,0,"ig-2-3,cookie-11-7,ram-10-7","bof-10-7,poison-1-5",ll-4,"yeti-2-4,wiz-1-10",rage-1-6,"yeti-2-4,wiz-1-10",rage-1-6
2,54,36,home,9,10,79,2,4,gg,8,rvial,10,0,0,0,0,0,0,0,0,etome,9,lgem,9,0,0,0,0,0,0,0,0,62,0,32,0,"ig-2-3,cookie-11-7,ram-10-7","bof-10-7,poison-1-5",ww-3,0,0,0,0
3,55,1,opponent,4,4,68,2,1,barbpup,15,rvial,15,lassi,15,archpup,15,ivial,15,unicorn,10,etome,15,lgem,15,eowl,10,sshield,15,roygem,15,myak,15,90,91,66,40,"yeti-11-5,suparch-10-11,arch-2-11","eq-4-5,freeze-5-7,rage-1-6",ll-4,"barb-1-12,balloon-1-11,valk-1-11,yeti-2-5","freeze-1-7,rage-1-6","barb-1-12,balloon-1-11,valk-1-11,yeti-2-5","freeze-1-7,rage-1-6"
3,56,2,opponent,5,3,77,2,1,barbpup,15,rvial,15,lassi,15,archpup,15,ivial,15,unicorn,10,etome,15,lgem,15,eowl,10,sshield,15,roygem,15,myak,15,90,93,65,40,"yeti-11-5,suparch-10-11,arch-2-11","eq-4-5,freeze-5-7,rage-1-6",ll-4,"barb-1-12,balloon-1-11,valk-1-11,yeti-2-5","freeze-1-7,rage-1-6","barb-1-12,balloon-1-11,valk-1-11,yeti-2-5","freeze-1-7,rage-1-6"
3,57,3,home,9,9,100,3,1,gg,10,rvial,10,0,0,archpup,10,ivial,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,63,0,0,"ig-2-3,cookie-11-7,ram-10-7","bof-10-7,poison-1-5",ww-3,"wiz-1-10,yeti-2-4",rage-1-6,"wiz-1-10,yeti-2-4",rage-1-6
3,58,4,home,2,2,100,3,1,eqboots,4,gg,15,phoenix,10,archpup,15,ivial,15,unicorn,10,etome,15,lgem,15,sfox,3,sshield,15,roygem,15,diggy,10,90,94,65,40,"root-6-1,cookie-14-11,healer-4-9,arch-4-11",bof-11-11,bd-4,suparch-4-12,"rage-1-6,poison-1-10",suparch-4-12,"rage-1-6,poison-1-10"
3,59,5,home,2,1,77,2,1,eqboots,4,gg,15,phoenix,10,archpup,15,ivial,15,unicorn,10,etome,15,lgem,15,sfox,3,sshield,15,roygem,15,diggy,10,90,94,65,40,"root-6-1,cookie-14-11,healer-4-9,arch-4-11",bof-11-11,bd-4,suparch-4-12,"rage-1-6,poison-1-10",suparch-4-12,"rage-1-6,poison-1-10"
