Variable,Coefficient
hero_total_strength,2.172293762099688
cc_size_defend,-0.18025260371265328
base_ww_defend,-3.446552587329804
th_attack_lower,-2.4393558833031355
th_attack_higher,0.022041940990029325
first_attack,-0.6343455337756967
army_size_total,1.0822078460777782
user_0,0.0
user_10001,2.0021112007110022
user_10002,0.0
user_10003,0.0
user_10004,0.0
user_10005,-2.449006475420499
user_10006,0.0
user_10007,0.0
user_10008,-0.4591108507464838
user_10010,0.37835477151391667
user_10011,-0.9348774709376128
user_10014,0.0
user_10015,0.0
leg_trophy_attack,0.7833353195543291
strat_blizzard,-2.1183678764356415
Intercept,-0.223375440521975
alpha,2.4
